Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold2562,Scaffold2562,NW_012226963.1,KN808074.1,GPS_009138285.1
Fundulus_heteroclitus-3.0.2,Scaffold2563,Scaffold2563,NW_012226964.1,KN808075.1,GPS_009138286.1
Fundulus_heteroclitus-3.0.2,Scaffold2564,Scaffold2564,NW_012226965.1,KN808076.1,GPS_009138287.1
Fundulus_heteroclitus-3.0.2,Scaffold2565,Scaffold2565,NW_012226966.1,KN808077.1,GPS_009138288.1
Fundulus_heteroclitus-3.0.2,Scaffold2566,Scaffold2566,NW_012226967.1,KN808078.1,GPS_009138289.1
Fundulus_heteroclitus-3.0.2,Scaffold2567,Scaffold2567,NW_012226968.1,KN808079.1,GPS_009138290.1
Fundulus_heteroclitus-3.0.2,Scaffold2568,Scaffold2568,NW_012226969.1,KN808080.1,GPS_009138291.1
Fundulus_heteroclitus-3.0.2,Scaffold2569,Scaffold2569,NW_012226970.1,KN808081.1,GPS_009138292.1
Fundulus_heteroclitus-3.0.2,Scaffold2570,Scaffold2570,NW_012226971.1,JXMV01054248.1,GPS_009138293.1
Fundulus_heteroclitus-3.0.2,Scaffold2571,Scaffold2571,NW_012226972.1,KN808082.1,GPS_009138294.1
Fundulus_heteroclitus-3.0.2,Scaffold2572,Scaffold2572,NW_012226973.1,KN808083.1,GPS_009138295.1
Fundulus_heteroclitus-3.0.2,Scaffold2573,Scaffold2573,NW_012226974.1,KN808084.1,GPS_009138296.1
Fundulus_heteroclitus-3.0.2,Scaffold2574,Scaffold2574,NW_012226975.1,KN808085.1,GPS_009138297.1
Fundulus_heteroclitus-3.0.2,Scaffold2575,Scaffold2575,NW_012226976.1,KN808086.1,GPS_009138298.1
Fundulus_heteroclitus-3.0.2,Scaffold2576,Scaffold2576,NW_012226977.1,KN808087.1,GPS_009138299.1
Fundulus_heteroclitus-3.0.2,Scaffold2577,Scaffold2577,NW_012226978.1,KN808088.1,GPS_009138300.1
Fundulus_heteroclitus-3.0.2,Scaffold2578,Scaffold2578,NW_012226979.1,KN808089.1,GPS_009138301.1
Fundulus_heteroclitus-3.0.2,Scaffold2579,Scaffold2579,NW_012226980.1,KN808090.1,GPS_009138302.1
Fundulus_heteroclitus-3.0.2,Scaffold2580,Scaffold2580,NW_012226981.1,KN808091.1,GPS_009138303.1
Fundulus_heteroclitus-3.0.2,Scaffold2581,Scaffold2581,NW_012226982.1,KN808092.1,GPS_009138304.1
Fundulus_heteroclitus-3.0.2,Scaffold2582,Scaffold2582,NW_012226983.1,KN808093.1,GPS_009138305.1
Fundulus_heteroclitus-3.0.2,Scaffold2583,Scaffold2583,NW_012226984.1,KN808094.1,GPS_009138306.1
Fundulus_heteroclitus-3.0.2,Scaffold2584,Scaffold2584,NW_012226985.1,KN808095.1,GPS_009138307.1
Fundulus_heteroclitus-3.0.2,Scaffold2585,Scaffold2585,NW_012226986.1,KN808096.1,GPS_009138308.1
Fundulus_heteroclitus-3.0.2,Scaffold2586,Scaffold2586,NW_012226987.1,KN808097.1,GPS_009138309.1
Fundulus_heteroclitus-3.0.2,Scaffold2587,Scaffold2587,NW_012226988.1,KN808098.1,GPS_009138310.1
Fundulus_heteroclitus-3.0.2,Scaffold2588,Scaffold2588,NW_012226989.1,KN808099.1,GPS_009138311.1
Fundulus_heteroclitus-3.0.2,Scaffold2589,Scaffold2589,NW_012226990.1,JXMV01054326.1,GPS_009138312.1
Fundulus_heteroclitus-3.0.2,Scaffold2590,Scaffold2590,NW_012226991.1,KN808100.1,GPS_009138313.1
Fundulus_heteroclitus-3.0.2,Scaffold2591,Scaffold2591,NW_012226992.1,KN808101.1,GPS_009138314.1
Fundulus_heteroclitus-3.0.2,Scaffold2592,Scaffold2592,NW_012226993.1,KN808102.1,GPS_009138315.1
Fundulus_heteroclitus-3.0.2,Scaffold2593,Scaffold2593,NW_012226994.1,JXMV01054340.1,GPS_009138316.1
Fundulus_heteroclitus-3.0.2,Scaffold2594,Scaffold2594,NW_012226995.1,KN808103.1,GPS_009138317.1
Fundulus_heteroclitus-3.0.2,Scaffold2595,Scaffold2595,NW_012226996.1,KN808104.1,GPS_009138318.1
Fundulus_heteroclitus-3.0.2,Scaffold2596,Scaffold2596,NW_012226997.1,JXMV01054348.1,GPS_009138319.1
Fundulus_heteroclitus-3.0.2,Scaffold2597,Scaffold2597,NW_012226998.1,KN808105.1,GPS_009138320.1
Fundulus_heteroclitus-3.0.2,Scaffold2598,Scaffold2598,NW_012226999.1,JXMV01054351.1,GPS_009138321.1
Fundulus_heteroclitus-3.0.2,Scaffold2599,Scaffold2599,NW_012227000.1,KN808106.1,GPS_009138322.1
Fundulus_heteroclitus-3.0.2,Scaffold2600,Scaffold2600,NW_012227001.1,KN808107.1,GPS_009138323.1
Fundulus_heteroclitus-3.0.2,Scaffold2601,Scaffold2601,NW_012227002.1,KN808108.1,GPS_009138324.1
Fundulus_heteroclitus-3.0.2,Scaffold2602,Scaffold2602,NW_012227003.1,KN808109.1,GPS_009138325.1
Fundulus_heteroclitus-3.0.2,Scaffold2603,Scaffold2603,NW_012227004.1,KN808110.1,GPS_009138326.1
Fundulus_heteroclitus-3.0.2,Scaffold2604,Scaffold2604,NW_012227005.1,KN808111.1,GPS_009138327.1
Fundulus_heteroclitus-3.0.2,Scaffold2605,Scaffold2605,NW_012227006.1,KN808112.1,GPS_009138328.1
Fundulus_heteroclitus-3.0.2,Scaffold2606,Scaffold2606,NW_012227007.1,KN808113.1,GPS_009138329.1
Fundulus_heteroclitus-3.0.2,Scaffold2607,Scaffold2607,NW_012227008.1,KN808114.1,GPS_009138330.1
Fundulus_heteroclitus-3.0.2,Scaffold2608,Scaffold2608,NW_012227009.1,KN808115.1,GPS_009138331.1
Fundulus_heteroclitus-3.0.2,Scaffold2609,Scaffold2609,NW_012227010.1,KN808116.1,GPS_009138332.1
Fundulus_heteroclitus-3.0.2,Scaffold2610,Scaffold2610,NW_012227011.1,KN808117.1,GPS_009138333.1
Fundulus_heteroclitus-3.0.2,Scaffold2611,Scaffold2611,NW_012227012.1,JXMV01054393.1,GPS_009138334.1
Fundulus_heteroclitus-3.0.2,Scaffold2612,Scaffold2612,NW_012227013.1,KN808118.1,GPS_009138335.1
Fundulus_heteroclitus-3.0.2,Scaffold2613,Scaffold2613,NW_012227014.1,KN808119.1,GPS_009138336.1
Fundulus_heteroclitus-3.0.2,Scaffold2614,Scaffold2614,NW_012227015.1,KN808120.1,GPS_009138337.1
Fundulus_heteroclitus-3.0.2,Scaffold2615,Scaffold2615,NW_012227016.1,KN808121.1,GPS_009138338.1
Fundulus_heteroclitus-3.0.2,Scaffold2616,Scaffold2616,NW_012227017.1,KN808122.1,GPS_009138339.1
Fundulus_heteroclitus-3.0.2,Scaffold2617,Scaffold2617,NW_012227018.1,KN808123.1,GPS_009138340.1
Fundulus_heteroclitus-3.0.2,Scaffold2618,Scaffold2618,NW_012227019.1,KN808124.1,GPS_009138341.1
Fundulus_heteroclitus-3.0.2,Scaffold2619,Scaffold2619,NW_012227020.1,KN808125.1,GPS_009138342.1
Fundulus_heteroclitus-3.0.2,Scaffold2620,Scaffold2620,NW_012227021.1,KN808126.1,GPS_009138343.1
Fundulus_heteroclitus-3.0.2,Scaffold2621,Scaffold2621,NW_012227022.1,KN808127.1,GPS_009138344.1
Fundulus_heteroclitus-3.0.2,Scaffold2622,Scaffold2622,NW_012227023.1,KN808128.1,GPS_009138345.1
Fundulus_heteroclitus-3.0.2,Scaffold2623,Scaffold2623,NW_012227024.1,KN808129.1,GPS_009138346.1
Fundulus_heteroclitus-3.0.2,Scaffold2624,Scaffold2624,NW_012227025.1,KN808130.1,GPS_009138347.1
Fundulus_heteroclitus-3.0.2,Scaffold2625,Scaffold2625,NW_012227026.1,KN808131.1,GPS_009138348.1
Fundulus_heteroclitus-3.0.2,Scaffold2626,Scaffold2626,NW_012227027.1,KN808132.1,GPS_009138349.1
Fundulus_heteroclitus-3.0.2,Scaffold2627,Scaffold2627,NW_012227028.1,KN808133.1,GPS_009138350.1
Fundulus_heteroclitus-3.0.2,Scaffold2628,Scaffold2628,NW_012227029.1,KN808134.1,GPS_009138351.1
Fundulus_heteroclitus-3.0.2,Scaffold2629,Scaffold2629,NW_012227030.1,KN808135.1,GPS_009138352.1
Fundulus_heteroclitus-3.0.2,Scaffold2630,Scaffold2630,NW_012227031.1,KN808136.1,GPS_009138353.1
Fundulus_heteroclitus-3.0.2,Scaffold2631,Scaffold2631,NW_012227032.1,KN808137.1,GPS_009138354.1
Fundulus_heteroclitus-3.0.2,Scaffold2632,Scaffold2632,NW_012227033.1,KN808138.1,GPS_009138355.1
Fundulus_heteroclitus-3.0.2,Scaffold2633,Scaffold2633,NW_012227034.1,KN808139.1,GPS_009138356.1
Fundulus_heteroclitus-3.0.2,Scaffold2634,Scaffold2634,NW_012227035.1,KN808140.1,GPS_009138357.1
Fundulus_heteroclitus-3.0.2,Scaffold2635,Scaffold2635,NW_012227036.1,KN808141.1,GPS_009138358.1
Fundulus_heteroclitus-3.0.2,Scaffold2636,Scaffold2636,NW_012227037.1,JXMV01054502.1,GPS_009138359.1
Fundulus_heteroclitus-3.0.2,Scaffold2637,Scaffold2637,NW_012227038.1,KN808142.1,GPS_009138360.1
Fundulus_heteroclitus-3.0.2,Scaffold2638,Scaffold2638,NW_012227039.1,KN808143.1,GPS_009138361.1
Fundulus_heteroclitus-3.0.2,Scaffold2639,Scaffold2639,NW_012227040.1,KN808144.1,GPS_009138362.1
Fundulus_heteroclitus-3.0.2,Scaffold2640,Scaffold2640,NW_012227041.1,KN808145.1,GPS_009138363.1
Fundulus_heteroclitus-3.0.2,Scaffold2641,Scaffold2641,NW_012227042.1,KN808146.1,GPS_009138364.1
Fundulus_heteroclitus-3.0.2,Scaffold2642,Scaffold2642,NW_012227043.1,KN808147.1,GPS_009138365.1
Fundulus_heteroclitus-3.0.2,Scaffold2643,Scaffold2643,NW_012227044.1,KN808148.1,GPS_009138366.1
Fundulus_heteroclitus-3.0.2,Scaffold2644,Scaffold2644,NW_012227045.1,KN808149.1,GPS_009138367.1
Fundulus_heteroclitus-3.0.2,Scaffold2645,Scaffold2645,NW_012227046.1,KN808150.1,GPS_009138368.1
Fundulus_heteroclitus-3.0.2,Scaffold2646,Scaffold2646,NW_012227047.1,JXMV01054541.1,GPS_009138369.1
Fundulus_heteroclitus-3.0.2,Scaffold2647,Scaffold2647,NW_012227048.1,KN808151.1,GPS_009138370.1
Fundulus_heteroclitus-3.0.2,Scaffold2648,Scaffold2648,NW_012227049.1,KN808152.1,GPS_009138371.1
Fundulus_heteroclitus-3.0.2,Scaffold2649,Scaffold2649,NW_012227050.1,KN808153.1,GPS_009138372.1
Fundulus_heteroclitus-3.0.2,Scaffold2650,Scaffold2650,NW_012227051.1,KN808154.1,GPS_009138373.1
Fundulus_heteroclitus-3.0.2,Scaffold2651,Scaffold2651,NW_012227052.1,KN808155.1,GPS_009138374.1
Fundulus_heteroclitus-3.0.2,Scaffold2652,Scaffold2652,NW_012227053.1,KN808156.1,GPS_009138375.1
Fundulus_heteroclitus-3.0.2,Scaffold2653,Scaffold2653,NW_012227054.1,KN808157.1,GPS_009138376.1
Fundulus_heteroclitus-3.0.2,Scaffold2654,Scaffold2654,NW_012227055.1,KN808158.1,GPS_009138377.1
Fundulus_heteroclitus-3.0.2,Scaffold2655,Scaffold2655,NW_012227056.1,KN808159.1,GPS_009138378.1
Fundulus_heteroclitus-3.0.2,Scaffold2656,Scaffold2656,NW_012227057.1,KN808160.1,GPS_009138379.1
Fundulus_heteroclitus-3.0.2,Scaffold2657,Scaffold2657,NW_012227058.1,KN808161.1,GPS_009138380.1
Fundulus_heteroclitus-3.0.2,Scaffold2658,Scaffold2658,NW_012227059.1,KN808162.1,GPS_009138381.1
Fundulus_heteroclitus-3.0.2,Scaffold2659,Scaffold2659,NW_012227060.1,KN808163.1,GPS_009138382.1
Fundulus_heteroclitus-3.0.2,Scaffold2660,Scaffold2660,NW_012227061.1,KN808164.1,GPS_009138383.1
Fundulus_heteroclitus-3.0.2,Scaffold2661,Scaffold2661,NW_012227062.1,KN808165.1,GPS_009138384.1
Fundulus_heteroclitus-3.0.2,Scaffold2662,Scaffold2662,NW_012227063.1,KN808166.1,GPS_009138385.1
Fundulus_heteroclitus-3.0.2,Scaffold2663,Scaffold2663,NW_012227064.1,KN808167.1,GPS_009138386.1
Fundulus_heteroclitus-3.0.2,Scaffold2664,Scaffold2664,NW_012227065.1,KN808168.1,GPS_009138387.1
Fundulus_heteroclitus-3.0.2,Scaffold2665,Scaffold2665,NW_012227066.1,KN808169.1,GPS_009138388.1
Fundulus_heteroclitus-3.0.2,Scaffold2666,Scaffold2666,NW_012227067.1,KN808170.1,GPS_009138389.1
Fundulus_heteroclitus-3.0.2,Scaffold2667,Scaffold2667,NW_012227068.1,KN808171.1,GPS_009138390.1
Fundulus_heteroclitus-3.0.2,Scaffold2668,Scaffold2668,NW_012227069.1,KN808172.1,GPS_009138391.1
Fundulus_heteroclitus-3.0.2,Scaffold2669,Scaffold2669,NW_012227070.1,KN808173.1,GPS_009138392.1
Fundulus_heteroclitus-3.0.2,Scaffold2670,Scaffold2670,NW_012227071.1,KN808174.1,GPS_009138393.1
Fundulus_heteroclitus-3.0.2,Scaffold2671,Scaffold2671,NW_012227072.1,KN808175.1,GPS_009138394.1
Fundulus_heteroclitus-3.0.2,Scaffold2672,Scaffold2672,NW_012227073.1,KN808176.1,GPS_009138395.1
Fundulus_heteroclitus-3.0.2,Scaffold2673,Scaffold2673,NW_012227074.1,KN808177.1,GPS_009138396.1
Fundulus_heteroclitus-3.0.2,Scaffold2674,Scaffold2674,NW_012227075.1,KN808178.1,GPS_009138397.1
Fundulus_heteroclitus-3.0.2,Scaffold2675,Scaffold2675,NW_012227076.1,KN808179.1,GPS_009138398.1
Fundulus_heteroclitus-3.0.2,Scaffold2676,Scaffold2676,NW_012227077.1,KN808180.1,GPS_009138399.1
Fundulus_heteroclitus-3.0.2,Scaffold2677,Scaffold2677,NW_012227078.1,KN808181.1,GPS_009138400.1
Fundulus_heteroclitus-3.0.2,Scaffold2678,Scaffold2678,NW_012227079.1,KN808182.1,GPS_009138401.1
Fundulus_heteroclitus-3.0.2,Scaffold2679,Scaffold2679,NW_012227080.1,KN808183.1,GPS_009138402.1
Fundulus_heteroclitus-3.0.2,Scaffold2680,Scaffold2680,NW_012227081.1,KN808184.1,GPS_009138403.1
Fundulus_heteroclitus-3.0.2,Scaffold2681,Scaffold2681,NW_012227082.1,KN808185.1,GPS_009138404.1
Fundulus_heteroclitus-3.0.2,Scaffold2682,Scaffold2682,NW_012227083.1,KN808186.1,GPS_009138405.1
Fundulus_heteroclitus-3.0.2,Scaffold2683,Scaffold2683,NW_012227084.1,KN808187.1,GPS_009138406.1
Fundulus_heteroclitus-3.0.2,Scaffold2684,Scaffold2684,NW_012227085.1,KN808188.1,GPS_009138407.1
Fundulus_heteroclitus-3.0.2,Scaffold2685,Scaffold2685,NW_012227086.1,KN808189.1,GPS_009138408.1
Fundulus_heteroclitus-3.0.2,Scaffold2686,Scaffold2686,NW_012227087.1,KN808190.1,GPS_009138409.1
Fundulus_heteroclitus-3.0.2,Scaffold2687,Scaffold2687,NW_012227088.1,KN808191.1,GPS_009138410.1
Fundulus_heteroclitus-3.0.2,Scaffold2688,Scaffold2688,NW_012227089.1,KN808192.1,GPS_009138411.1
Fundulus_heteroclitus-3.0.2,Scaffold2689,Scaffold2689,NW_012227090.1,JXMV01054702.1,GPS_009138412.1
Fundulus_heteroclitus-3.0.2,Scaffold2690,Scaffold2690,NW_012227091.1,KN808193.1,GPS_009138413.1
Fundulus_heteroclitus-3.0.2,Scaffold2691,Scaffold2691,NW_012227092.1,JXMV01054708.1,GPS_009138414.1
Fundulus_heteroclitus-3.0.2,Scaffold2692,Scaffold2692,NW_012227093.1,KN808194.1,GPS_009138415.1
Fundulus_heteroclitus-3.0.2,Scaffold2693,Scaffold2693,NW_012227094.1,KN808195.1,GPS_009138416.1
Fundulus_heteroclitus-3.0.2,Scaffold2694,Scaffold2694,NW_012227095.1,KN808196.1,GPS_009138417.1
Fundulus_heteroclitus-3.0.2,Scaffold2695,Scaffold2695,NW_012227096.1,KN808197.1,GPS_009138418.1
Fundulus_heteroclitus-3.0.2,Scaffold2696,Scaffold2696,NW_012227097.1,KN808198.1,GPS_009138419.1
Fundulus_heteroclitus-3.0.2,Scaffold2697,Scaffold2697,NW_012227098.1,KN808199.1,GPS_009138420.1
Fundulus_heteroclitus-3.0.2,Scaffold2698,Scaffold2698,NW_012227099.1,KN808200.1,GPS_009138421.1
Fundulus_heteroclitus-3.0.2,Scaffold2699,Scaffold2699,NW_012227100.1,KN808201.1,GPS_009138422.1
Fundulus_heteroclitus-3.0.2,Scaffold2700,Scaffold2700,NW_012227101.1,KN808202.1,GPS_009138423.1
Fundulus_heteroclitus-3.0.2,Scaffold2701,Scaffold2701,NW_012227102.1,KN808203.1,GPS_009138424.1
Fundulus_heteroclitus-3.0.2,Scaffold2702,Scaffold2702,NW_012227103.1,KN808204.1,GPS_009138425.1
Fundulus_heteroclitus-3.0.2,Scaffold2703,Scaffold2703,NW_012227104.1,KN808205.1,GPS_009138426.1
Fundulus_heteroclitus-3.0.2,Scaffold2704,Scaffold2704,NW_012227105.1,KN808206.1,GPS_009138427.1
Fundulus_heteroclitus-3.0.2,Scaffold2705,Scaffold2705,NW_012227106.1,KN808207.1,GPS_009138428.1
Fundulus_heteroclitus-3.0.2,Scaffold2706,Scaffold2706,NW_012227107.1,KN808208.1,GPS_009138429.1
Fundulus_heteroclitus-3.0.2,Scaffold2707,Scaffold2707,NW_012227108.1,KN808209.1,GPS_009138430.1
Fundulus_heteroclitus-3.0.2,Scaffold2708,Scaffold2708,NW_012227109.1,KN808210.1,GPS_009138431.1
Fundulus_heteroclitus-3.0.2,Scaffold2709,Scaffold2709,NW_012227110.1,KN808211.1,GPS_009138432.1
Fundulus_heteroclitus-3.0.2,Scaffold2710,Scaffold2710,NW_012227111.1,KN808212.1,GPS_009138433.1
Fundulus_heteroclitus-3.0.2,Scaffold2711,Scaffold2711,NW_012227112.1,KN808213.1,GPS_009138434.1
Fundulus_heteroclitus-3.0.2,Scaffold2712,Scaffold2712,NW_012227113.1,KN808214.1,GPS_009138435.1
Fundulus_heteroclitus-3.0.2,Scaffold2713,Scaffold2713,NW_012227114.1,KN808215.1,GPS_009138436.1
Fundulus_heteroclitus-3.0.2,Scaffold2714,Scaffold2714,NW_012227115.1,KN808216.1,GPS_009138437.1
Fundulus_heteroclitus-3.0.2,Scaffold2715,Scaffold2715,NW_012227116.1,KN808217.1,GPS_009138438.1
Fundulus_heteroclitus-3.0.2,Scaffold2716,Scaffold2716,NW_012227117.1,JXMV01054805.1,GPS_009138439.1
Fundulus_heteroclitus-3.0.2,Scaffold2717,Scaffold2717,NW_012227118.1,KN808218.1,GPS_009138440.1
Fundulus_heteroclitus-3.0.2,Scaffold2718,Scaffold2718,NW_012227119.1,KN808219.1,GPS_009138441.1
Fundulus_heteroclitus-3.0.2,Scaffold2719,Scaffold2719,NW_012227120.1,KN808220.1,GPS_009138442.1
Fundulus_heteroclitus-3.0.2,Scaffold2720,Scaffold2720,NW_012227121.1,KN808221.1,GPS_009138443.1
Fundulus_heteroclitus-3.0.2,Scaffold2721,Scaffold2721,NW_012227122.1,JXMV01054824.1,GPS_009138444.1
Fundulus_heteroclitus-3.0.2,Scaffold2722,Scaffold2722,NW_012227123.1,KN808222.1,GPS_009138445.1
Fundulus_heteroclitus-3.0.2,Scaffold2723,Scaffold2723,NW_012227124.1,KN808223.1,GPS_009138446.1
Fundulus_heteroclitus-3.0.2,Scaffold2724,Scaffold2724,NW_012227125.1,KN808224.1,GPS_009138447.1
Fundulus_heteroclitus-3.0.2,Scaffold2725,Scaffold2725,NW_012227126.1,KN808225.1,GPS_009138448.1
Fundulus_heteroclitus-3.0.2,Scaffold2726,Scaffold2726,NW_012227127.1,KN808226.1,GPS_009138449.1
Fundulus_heteroclitus-3.0.2,Scaffold2727,Scaffold2727,NW_012227128.1,KN808227.1,GPS_009138450.1
Fundulus_heteroclitus-3.0.2,Scaffold2728,Scaffold2728,NW_012227129.1,KN808228.1,GPS_009138451.1
Fundulus_heteroclitus-3.0.2,Scaffold2729,Scaffold2729,NW_012227130.1,KN808229.1,GPS_009138452.1
Fundulus_heteroclitus-3.0.2,Scaffold2730,Scaffold2730,NW_012227131.1,KN808230.1,GPS_009138453.1
Fundulus_heteroclitus-3.0.2,Scaffold2731,Scaffold2731,NW_012227132.1,KN808231.1,GPS_009138454.1
Fundulus_heteroclitus-3.0.2,Scaffold2732,Scaffold2732,NW_012227133.1,KN808232.1,GPS_009138455.1
Fundulus_heteroclitus-3.0.2,Scaffold2733,Scaffold2733,NW_012227134.1,KN808233.1,GPS_009138456.1
Fundulus_heteroclitus-3.0.2,Scaffold2734,Scaffold2734,NW_012227135.1,KN808234.1,GPS_009138457.1
Fundulus_heteroclitus-3.0.2,Scaffold2735,Scaffold2735,NW_012227136.1,KN808235.1,GPS_009138458.1
Fundulus_heteroclitus-3.0.2,Scaffold2736,Scaffold2736,NW_012227137.1,KN808236.1,GPS_009138459.1
Fundulus_heteroclitus-3.0.2,Scaffold2737,Scaffold2737,NW_012227138.1,KN808237.1,GPS_009138460.1
Fundulus_heteroclitus-3.0.2,Scaffold2738,Scaffold2738,NW_012227139.1,KN808238.1,GPS_009138461.1
Fundulus_heteroclitus-3.0.2,Scaffold2739,Scaffold2739,NW_012227140.1,KN808239.1,GPS_009138462.1
Fundulus_heteroclitus-3.0.2,Scaffold2740,Scaffold2740,NW_012227141.1,KN808240.1,GPS_009138463.1
Fundulus_heteroclitus-3.0.2,Scaffold2741,Scaffold2741,NW_012227142.1,KN808241.1,GPS_009138464.1
Fundulus_heteroclitus-3.0.2,Scaffold2742,Scaffold2742,NW_012227143.1,KN808242.1,GPS_009138465.1
Fundulus_heteroclitus-3.0.2,Scaffold2743,Scaffold2743,NW_012227144.1,KN808243.1,GPS_009138466.1
Fundulus_heteroclitus-3.0.2,Scaffold2744,Scaffold2744,NW_012227145.1,KN808244.1,GPS_009138467.1
Fundulus_heteroclitus-3.0.2,Scaffold2745,Scaffold2745,NW_012227146.1,KN808245.1,GPS_009138468.1
Fundulus_heteroclitus-3.0.2,Scaffold2746,Scaffold2746,NW_012227147.1,KN808246.1,GPS_009138469.1
Fundulus_heteroclitus-3.0.2,Scaffold2747,Scaffold2747,NW_012227148.1,KN808247.1,GPS_009138470.1
Fundulus_heteroclitus-3.0.2,Scaffold2748,Scaffold2748,NW_012227149.1,KN808248.1,GPS_009138471.1
Fundulus_heteroclitus-3.0.2,Scaffold2749,Scaffold2749,NW_012227150.1,KN808249.1,GPS_009138472.1
Fundulus_heteroclitus-3.0.2,Scaffold2750,Scaffold2750,NW_012227151.1,KN808250.1,GPS_009138473.1
Fundulus_heteroclitus-3.0.2,Scaffold2751,Scaffold2751,NW_012227152.1,KN808251.1,GPS_009138474.1
Fundulus_heteroclitus-3.0.2,Scaffold2752,Scaffold2752,NW_012227153.1,KN808252.1,GPS_009138475.1
Fundulus_heteroclitus-3.0.2,Scaffold2753,Scaffold2753,NW_012227154.1,KN808253.1,GPS_009138476.1
Fundulus_heteroclitus-3.0.2,Scaffold2754,Scaffold2754,NW_012227155.1,KN808254.1,GPS_009138477.1
Fundulus_heteroclitus-3.0.2,Scaffold2755,Scaffold2755,NW_012227156.1,KN808255.1,GPS_009138478.1
Fundulus_heteroclitus-3.0.2,Scaffold2756,Scaffold2756,NW_012227157.1,KN808256.1,GPS_009138479.1
Fundulus_heteroclitus-3.0.2,Scaffold2757,Scaffold2757,NW_012227158.1,KN808257.1,GPS_009138480.1
Fundulus_heteroclitus-3.0.2,Scaffold2758,Scaffold2758,NW_012227159.1,KN808258.1,GPS_009138481.1
Fundulus_heteroclitus-3.0.2,Scaffold2759,Scaffold2759,NW_012227160.1,KN808259.1,GPS_009138482.1
Fundulus_heteroclitus-3.0.2,Scaffold2760,Scaffold2760,NW_012227161.1,KN808260.1,GPS_009138483.1
Fundulus_heteroclitus-3.0.2,Scaffold2761,Scaffold2761,NW_012227162.1,KN808261.1,GPS_009138484.1
Fundulus_heteroclitus-3.0.2,Scaffold2762,Scaffold2762,NW_012227163.1,KN808262.1,GPS_009138485.1
Fundulus_heteroclitus-3.0.2,Scaffold2763,Scaffold2763,NW_012227164.1,KN808263.1,GPS_009138486.1
Fundulus_heteroclitus-3.0.2,Scaffold2764,Scaffold2764,NW_012227165.1,KN808264.1,GPS_009138487.1
Fundulus_heteroclitus-3.0.2,Scaffold2765,Scaffold2765,NW_012227166.1,KN808265.1,GPS_009138488.1
Fundulus_heteroclitus-3.0.2,Scaffold2766,Scaffold2766,NW_012227167.1,KN808266.1,GPS_009138489.1
Fundulus_heteroclitus-3.0.2,Scaffold2767,Scaffold2767,NW_012227168.1,KN808267.1,GPS_009138490.1
Fundulus_heteroclitus-3.0.2,Scaffold2768,Scaffold2768,NW_012227169.1,KN808268.1,GPS_009138491.1
Fundulus_heteroclitus-3.0.2,Scaffold2769,Scaffold2769,NW_012227170.1,KN808269.1,GPS_009138492.1
Fundulus_heteroclitus-3.0.2,Scaffold2770,Scaffold2770,NW_012227171.1,JXMV01055022.1,GPS_009138493.1
Fundulus_heteroclitus-3.0.2,Scaffold2771,Scaffold2771,NW_012227172.1,KN808270.1,GPS_009138494.1
Fundulus_heteroclitus-3.0.2,Scaffold2772,Scaffold2772,NW_012227173.1,KN808271.1,GPS_009138495.1
Fundulus_heteroclitus-3.0.2,Scaffold2773,Scaffold2773,NW_012227174.1,KN808272.1,GPS_009138496.1
Fundulus_heteroclitus-3.0.2,Scaffold2774,Scaffold2774,NW_012227175.1,KN808273.1,GPS_009138497.1
Fundulus_heteroclitus-3.0.2,Scaffold2775,Scaffold2775,NW_012227176.1,KN808274.1,GPS_009138498.1
Fundulus_heteroclitus-3.0.2,Scaffold2776,Scaffold2776,NW_012227177.1,KN808275.1,GPS_009138499.1
Fundulus_heteroclitus-3.0.2,Scaffold2777,Scaffold2777,NW_012227178.1,KN808276.1,GPS_009138500.1
Fundulus_heteroclitus-3.0.2,Scaffold2778,Scaffold2778,NW_012227179.1,KN808277.1,GPS_009138501.1
Fundulus_heteroclitus-3.0.2,Scaffold2779,Scaffold2779,NW_012227180.1,KN808278.1,GPS_009138502.1
Fundulus_heteroclitus-3.0.2,Scaffold2780,Scaffold2780,NW_012227181.1,KN808279.1,GPS_009138503.1
Fundulus_heteroclitus-3.0.2,Scaffold2781,Scaffold2781,NW_012227182.1,KN808280.1,GPS_009138504.1
Fundulus_heteroclitus-3.0.2,Scaffold2782,Scaffold2782,NW_012227183.1,KN808281.1,GPS_009138505.1
Fundulus_heteroclitus-3.0.2,Scaffold2783,Scaffold2783,NW_012227184.1,KN808282.1,GPS_009138506.1
Fundulus_heteroclitus-3.0.2,Scaffold2784,Scaffold2784,NW_012227185.1,KN808283.1,GPS_009138507.1
Fundulus_heteroclitus-3.0.2,Scaffold2785,Scaffold2785,NW_012227186.1,KN808284.1,GPS_009138508.1
Fundulus_heteroclitus-3.0.2,Scaffold2786,Scaffold2786,NW_012227187.1,KN808285.1,GPS_009138509.1
Fundulus_heteroclitus-3.0.2,Scaffold2787,Scaffold2787,NW_012227188.1,KN808286.1,GPS_009138510.1
Fundulus_heteroclitus-3.0.2,Scaffold2788,Scaffold2788,NW_012227189.1,KN808287.1,GPS_009138511.1
Fundulus_heteroclitus-3.0.2,Scaffold2789,Scaffold2789,NW_012227190.1,KN808288.1,GPS_009138512.1
